state,postcode,name,region
VIC,3145,CENTRAL PARK,MULGRAVE
VIC,3145,DARLING,MULGRAVE
VIC,3145,MALVERN EAST,MULGRAVE
VIC,3145,WATTLETREE ROAD PO,MULGRAVE
VIC,3146,GLEN IRIS,HAWTHORN
VIC,3147,ASHBURTON,HAWTHORN
VIC,3147,ASHWOOD,HAWTHORN
VIC,3148,CHADSTONE,MULGRAVE
VIC,3148,CHADSTONE CENTRE,MULGRAVE
VIC,3148,HOLMESGLEN,MULGRAVE
VIC,3149,MOUNT WAVERLEY,MULGRAVE
VIC,3149,PINEWOOD,MULGRAVE
VIC,3149,SYNDAL,MULGRAVE
VIC,3150,BRANDON PARK,MULGRAVE
VIC,3150,GLEN WAVERLEY,MULGRAVE
VIC,3150,WHEELERS HILL,MULGRAVE
VIC,3151,BURWOOD EAST,HAWTHORN
VIC,3151,BURWOOD HEIGHTS,HAWTHORN
VIC,3152,KNOX CITY CENTRE,FERNTREE GULLY
VIC,3152,STUDFIELD,FERNTREE GULLY
VIC,3152,WANTIRNA,FERNTREE GULLY
VIC,3152,WANTIRNA SOUTH,FERNTREE GULLY
VIC,3153,BAYSWATER,FERNTREE GULLY
VIC,3153,BAYSWATER NORTH,FERNTREE GULLY
VIC,3154,THE BASIN,FERNTREE GULLY
VIC,3155,BORONIA,FERNTREE GULLY
VIC,3156,FERNTREE GULLY,FERNTREE GULLY
VIC,3156,LYSTERFIELD,FERNTREE GULLY
VIC,3156,LYSTERFIELD SOUTH,FERNTREE GULLY
VIC,3156,MOUNTAIN GATE,FERNTREE GULLY
VIC,3156,UPPER FERNTREE GULLY,FERNTREE GULLY
VIC,3158,UPWEY,FERNTREE GULLY
VIC,3159,MENZIES CREEK,FERNTREE GULLY
VIC,3159,SELBY,FERNTREE GULLY
VIC,3160,BELGRAVE,FERNTREE GULLY
VIC,3160,BELGRAVE HEIGHTS,FERNTREE GULLY
VIC,3160,BELGRAVE SOUTH,FERNTREE GULLY
VIC,3160,TECOMA,FERNTREE GULLY
VIC,3161,CAULFIELD JUNCTION,MULGRAVE
VIC,3161,CAULFIELD NORTH,MULGRAVE
VIC,3162,CAULFIELD,MULGRAVE
VIC,3162,CAULFIELD SOUTH,MULGRAVE
VIC,3162,HOPETOUN GARDENS,MULGRAVE
VIC,3163,CARNEGIE,MULGRAVE
VIC,3163,GLEN HUNTLY,MULGRAVE
VIC,3163,MURRUMBEENA,MULGRAVE
VIC,3164,DANDENONG SOUTH,DANDENONG
VIC,3165,BENTLEIGH EAST,MULGRAVE
VIC,3166,HUGHESDALE,MULGRAVE
VIC,3166,HUNTINGDALE,MULGRAVE
VIC,3166,OAKLEIGH,MULGRAVE
VIC,3166,OAKLEIGH EAST,MULGRAVE
VIC,3167,OAKLEIGH SOUTH,MULGRAVE
VIC,3168,CLAYTON,MULGRAVE
VIC,3168,NOTTING HILL,MULGRAVE
VIC,3169,CLARINDA,MULGRAVE
VIC,3169,CLAYTON SOUTH,MULGRAVE
VIC,3170,MULGRAVE,MULGRAVE
VIC,3170,WAVERLEY GARDENS,MULGRAVE
VIC,3171,SANDOWN VILLAGE,MULGRAVE
VIC,3171,SPRINGVALE,MULGRAVE
VIC,3172,DINGLEY VILLAGE,DANDENONG
VIC,3172,SPRINGVALE SOUTH,DANDENONG
VIC,3173,KEYSBOROUGH,DANDENONG
VIC,3174,NOBLE PARK,MULGRAVE
VIC,3174,NOBLE PARK NORTH,MULGRAVE
VIC,3175,BANGHOLME,DANDENONG
VIC,3175,DANDENONG,DANDENONG
VIC,3175,DANDENONG EAST,DANDENONG
VIC,3175,DANDENONG NORTH,DANDENONG
VIC,3175,DANDENONG SOUTH,DANDENONG
VIC,3175,DUNEARN,DANDENONG
VIC,3176,SCORESBY BC,FERNTREE GULLY
VIC,3177,DOVETON,DANDENONG
VIC,3177,EUMEMMERRING,DANDENONG
VIC,3178,ROWVILLE,FERNTREE GULLY
VIC,3179,SCORESBY,FERNTREE GULLY
VIC,3180,KNOXFIELD,FERNTREE GULLY
VIC,3181,PRAHRAN,MOORABBIN
VIC,3181,PRAHRAN EAST,MOORABBIN
VIC,3181,WINDSOR,MOORABBIN
VIC,3182,ST KILDA,MOORABBIN
VIC,3182,ST KILDA SOUTH,MOORABBIN
VIC,3182,ST KILDA WEST,MOORABBIN
VIC,3183,BALACLAVA,MOORABBIN
VIC,3183,ST KILDA EAST,MOORABBIN
VIC,3184,BRIGHTON ROAD,MOORABBIN
VIC,3184,ELWOOD,MOORABBIN
VIC,3185,ELSTERNWICK,MOORABBIN
VIC,3185,GARDENVALE,MOORABBIN
VIC,3185,RIPPONLEA,MOORABBIN
VIC,3186,BRIGHTON,MOORABBIN
VIC,3186,BRIGHTON NORTH,MOORABBIN
VIC,3186,DENDY,MOORABBIN
VIC,3186,WERE STREET PO,MOORABBIN
VIC,3187,BRIGHTON EAST,MOORABBIN
VIC,3187,NORTH ROAD,MOORABBIN
VIC,3188,HAMPTON,DANDENONG
VIC,3188,HAMPTON EAST,DANDENONG
VIC,3188,HAMPTON NORTH,DANDENONG
VIC,3189,MOORABBIN,DANDENONG
VIC,3189,MOORABBIN EAST,DANDENONG
VIC,3189,WISHART,DANDENONG
VIC,3190,HIGHETT,DANDENONG
